Movie Names,Release Year,Movie Genres,Movie IMDb Ratings,Movie URL,Movie Streaming Service,Duration
Animal,2023,Drama,6.4 (79k),https://www.justwatch.com/in/movie/animal-2022,Netflix,120 min
Salaar,2023,Action,6.5 (58k),https://www.justwatch.com/in/movie/salaar,Netflix,150 min
12th Fail,2023,Crime,9.1 (96k),https://www.justwatch.com/in/movie/12th-fail,Hotstar,130 min
Sam Bahadur,2023,Drama,7.9 (12k),https://www.justwatch.com/in/movie/sam-bahadur,Zee5,145 min
Aquaman and the Lost Kingdom,2023,Fantasy,5.7 (53k),https://www.justwatch.com/in/movie/aquaman-and-the-lost-kingdom,Apple TV,140 min
Dunki,2023,Adventure,7.2 (62k),https://www.justwatch.com/in/movie/dunki,Netflix,125 min
SSMB 28,2024,Action,5.6 (18k),https://www.justwatch.com/in/movie/ssmb-28,Netflix,160 min
Hanu-Man,2024,Fantasy,8.5 (16k),https://www.justwatch.com/in/movie/hanu-man,Provider not found,135 min
Oppenheimer,2023,Historical Drama,8.4 (632k),https://www.justwatch.com/in/movie/oppenheimer,Apple TV,180 min
Anyone But You,2023,Romantic Drama,6.4 (24k),https://www.justwatch.com/in/movie/anyone-but-you,Bookmyshow,110 min
The Marvels,2023,Sci-Fi,5.6 (99k),https://www.justwatch.com/in/movie/the-marvels,Apple TV,120 min
Neru,2023,Historical Drama,7.6 (4k),https://www.justwatch.com/in/movie/neru,Hotstar,140 min
Sapta Sagaradaache Ello Side B,2023,Action,8.1 (2k),https://www.justwatch.com/in/movie/sapta-sagaradaache-ello-side-b,Amazon Prime Video,155 min
Nani 30,2023,Drama,8.2 (12k),https://www.justwatch.com/in/movie/nani30,Netflix,130 min
Captain Miller,2024,Sci-Fi,6.9 (4k),https://www.justwatch.com/in/movie/captain-miller,Amazon Prime Video,145 min
Fighter,2024,Action,7.4 (35k),https://www.justwatch.com/in/movie/fighter-2022,Provider not found,130 min
The Kerala Story,2023,Thriller,7.1 (67k),https://www.justwatch.com/in/movie/the-kerala-story,Provider not found,120 min
Jawan,2023,Action,7.0 (91k),https://www.justwatch.com/in/movie/jawan,Apple TV,140 min
Devil,2023,Action,6.7 (3k),https://www.justwatch.com/in/movie/devil-2023,Amazon Prime Video,120 min
Parking,2023,Drama,7.9 (8k),https://www.justwatch.com/in/movie/parking-2023,Hotstar,110 min
Migration,2023,Comedy,6.7 (14k),https://www.justwatch.com/in/movie/migration,Amazon Video,105 min
Killers of the Flower Moon,2023,Crime,7.7 (198k),https://www.justwatch.com/in/movie/killers-of-the-flower-moon,Apple TV Plus,180 min
The Beekeeper,2024,Thriller,6.4 (46k),https://www.justwatch.com/in/movie/the-beekeeper-2024,Bookmyshow,115 min
Tiger 3,2023,Action,5.8 (51k),https://www.justwatch.com/in/movie/tiger-3,Amazon Prime Video,130 min
Mission Impossible 7,2023,Action,7.7 (226k),https://www.justwatch.com/in/movie/mission-impossible-7,Apple TV,150 min
Guthlee Ladoo,2023,Comedy,7.8 (1k),https://www.justwatch.com/in/movie/guthlee-ladoo,Amazon Prime Video,100 min
Ayalaan,2024,Fantasy,6.2 (2k),https://www.justwatch.com/in/movie/ayalaan,Sun Nxt,130 min
Anatomie d'une Chute,2023,Thriller,7.8 (62k),https://www.justwatch.com/in/movie/anatomie-dune-chute,Provider not found,130 min
Society of the Snow,2023,Adventure,7.9 (96k),https://www.justwatch.com/in/movie/society-of-the-snow,Netflix,140 min
