Show names,Release year,Genere,URL,IMDB Ratings,Streaming service,Seasons,Episodes
indian-police-force,2024,Action & Adventure,https://www.justwatch.com/in/tv-show/indian-police-force,6.2 (57k),Amazon Prime Video,1,8
true-detective,2014,Crime,https://www.justwatch.com/in/tv-show/true-detective,8.9 (635k),Jio Cinema,4,32
game-of-thrones,2011,Drama,https://www.justwatch.com/in/tv-show/game-of-thrones,9.2 (2m),Jio Cinema,8,73
mirzapur,2018,Mystery & Thriller,https://www.justwatch.com/in/tv-show/mirzapur,8.5 (80k),Amazon Prime Video,2,19
panchayat,2020,Crime,https://www.justwatch.com/in/tv-show/panchayat,8.9 (83k),Amazon Prime Video,2,16
jack-reacher,2022,Drama,https://www.justwatch.com/in/tv-show/jack-reacher,8.1 (197k),Amazon Prime Video,1,8
death-and-other-details,2024,Action & Adventure,https://www.justwatch.com/in/tv-show/death-and-other-details,7.0 (3k),Hotstar,1,10
solo-leveling-2024,2024,Science-Fiction,https://www.justwatch.com/in/tv-show/solo-leveling-2024,8.5 (7k),Crunchyroll,1,12
bigg-boss,2006,Fantasy,https://www.justwatch.com/in/tv-show/bigg-boss,3.7 (3k),Voot,14,400
the-legend-of-hanuman,2021,Crime,https://www.justwatch.com/in/tv-show/the-legend-of-hanuman,9.2 (12k),Hotstar,2,26
yellowstone,2018,Action & Adventure,https://www.justwatch.com/in/tv-show/yellowstone,8.7 (209k),Netflix,5,47
jujutsu-kaisen,2020,Mystery & Thriller,https://www.justwatch.com/in/tv-show/jujutsu-kaisen,8.6 (105k),Crunchyroll,2,48
mr-and-mrs-smith,2024,Drama,https://www.justwatch.com/in/tv-show/mr-and-mrs-smith,6.9 (17k),Amazon Prime Video,1,10
farzi,2023,Comedy,https://www.justwatch.com/in/tv-show/farzi,8.4 (43k),Amazon Prime Video,1,8
the-last-of-us,2023,Drama,https://www.justwatch.com/in/tv-show/the-last-of-us,8.8 (497k),Jio Cinema,1,9
superman-and-lois,2021,Action & Adventure,https://www.justwatch.com/in/tv-show/superman-and-lois,7.8 (39k),Amazon Prime Video,3,43
killer-soup,2024,Crime,https://www.justwatch.com/in/tv-show/killer-soup,6.3 (3k),Netflix,1,8
berlin,2023,Drama,https://www.justwatch.com/in/tv-show/berlin,7.0 (24k),Netflix,1,10
mastram,2020,Mystery & Thriller,https://www.justwatch.com/in/tv-show/mastram,7.1 (2k),Provider not found,1,10
maharani-2021,2021,Crime,https://www.justwatch.com/in/tv-show/maharani-2021,7.9 (8k),Sony Liv,2,20
paperhouse,2017,Mystery & Thriller,https://www.justwatch.com/in/tv-show/paperhouse,8.2 (524k),Netflix,1,10
the-bear,2022,Drama,https://www.justwatch.com/in/tv-show/the-bear,8.6 (195k),Hotstar,2,18
griselda,2024,Animation,https://www.justwatch.com/in/tv-show/griselda,7.3 (23k),Netflix,1,6
aarya,2020,Action & Adventure,https://www.justwatch.com/in/tv-show/aarya,7.9 (13k),Hotstar,3,24
